pulled,window_start,window_end,iso3,country,users,views
2026-08-09,20220529,20260808,MKD,North Macedonia,3,14
2026-08-09,20220529,20260808,MMR,Myanmar,3,16
2026-08-09,20220529,20260808,QAT,Qatar,3,19
2026-08-09,20220529,20260808,SVK,Slovakia,3,6
2026-08-09,20220529,20260808,URY,Uruguay,3,4
2026-08-09,20220529,20260808,VEN,"Venezuela, Bolivarian Republic of",3,3
2026-08-09,20220529,20260808,AZE,Azerbaijan,2,3
2026-08-09,20220529,20260808,BLR,Belarus,2,2
2026-08-09,20220529,20260808,DOM,Dominican Republic,2,4
2026-08-09,20220529,20260808,EST,Estonia,2,6
2026-08-09,20220529,20260808,ETH,Ethiopia,2,2
2026-08-09,20220529,20260808,KGZ,Kyrgyzstan,2,6
2026-08-09,20220529,20260808,KHM,Cambodia,2,7
2026-08-09,20220529,20260808,LKA,Sri Lanka,2,5
